%DataLog%
DataLogVersion : 1.0
Software : ECU Manager
SoftwareVersion : 1.1.14.0
DownloadDateTime : 20180713 08:37:23
Channel : BaseFuel
Type : Percentage
DisplayMaxMin : 2000,0
Channel : BaseIgnition
Type : AngleIgnSprt2K
DisplayMaxMin : 800,0
Channel : TargetAFR
Type : AFR
DisplayMaxMin : 2000,200
Channel : FuelCoolantTempCorrection
Type : Percentage1For1
DisplayMaxMin : 250,-100
Channel : FuelAirTempCorrection
Type : Percentage
DisplayMaxMin : 500,-500
Channel : ThrottlePosition
Type : Percentage
DisplayMaxMin : 1000,0
Channel : AirTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : CoolantTemp
Type : Temperature
DisplayMaxMin : 4231,2331
Channel : LambdaSensor1
Type : AFR
DisplayMaxMin : 2000,200
Channel : RPM
Type : EngineSpeed
DisplayMaxMin : 10000,0
Channel : Load
Type : Pressure
DisplayMaxMin : 1013,13
Channel : BatteryVoltage
Type : BatteryVoltage
DisplayMaxMin : 16000,8000
Channel : EngineRunningTime
Type : Time_s
DisplayMaxMin : 10000,0
Channel : DeltaLoad
Type : Percentage
DisplayMaxMin : 1000,-1000
Channel : MAPSource
Type : Pressure
DisplayMaxMin : 1013,13
Channel : TransientThrottleLoadSource
Type : Percentage
DisplayMaxMin : 1000,-1000
Channel : IgnitionLoad
Type : Pressure
DisplayMaxMin : 1013,13
Channel : AFRDifference
Type : AFR
DisplayMaxMin : 150,-150
Channel : IgnitionTiming
Type : Angle
DisplayMaxMin : 600,-200
Log : 20180713 07:54:58
07:54:58.000,357,320,1000,0,0,3,3090,3402,912,1164,360,13184,359,0,361,3,360,88,213
07:54:58.031,356,,,,,,,,911,1155,360,13200,,,358,,360,89,
07:54:58.047,358,,,,,,,,,,,,,,,,,,
07:54:58.062,,,,,,,,,914,1168,361,13184,,,,,,,
07:54:58.078,,,,,,,,,,,,,,,361,,361,86,
07:54:58.109,358,,,,,,,,911,,361,13169,,,361,,361,89,
07:54:58.140,357,,,,,,,,911,1168,359,13231,,,359,,359,89,
07:54:58.156,356,,,,,,,,914,1169,358,13231,,,358,,358,86,
07:54:58.250,357,,,,,,,,908,1174,357,13184,,,357,,357,92,
07:54:58.265,,,,,,,,,909,1180,357,13169,,,358,,357,,
07:54:58.281,,,,,,,,,,,,,,,,,,91,
07:54:58.297,357,,,,,,,,908,1176,356,,,,356,,356,92,
07:54:58.328,354,,,,,,,,910,1152,356,,,,357,,356,90,
07:54:58.344,354,,,,,,3090,,,1152,357,,,,358,,357,,
07:54:58.359,356,,,,,,3091,,910,,,,,,,,,,
07:54:58.375,,,,,,,,,,1151,361,13169,,,360,,361,90,
07:54:58.422,355,,,,,,3090,,913,1143,360,13216,,,360,,360,87,
07:54:58.437,355,,,,,,3090,,912,1148,361,13184,,,361,,361,88,
07:54:58.469,357,,,,,,3091,,,1155,,,,,,,,,
07:54:58.484,,,,,,,,,,,362,13169,,,,,362,,213
07:54:58.500,357,,,,,,3090,,912,1158,361,13200,,,361,,361,88,212
07:54:58.531,356,,,,,,3090,,911,1160,359,13216,,,359,,359,89,213
07:54:58.547,357,,,,,,3091,,910,1161,361,,,,361,,361,90,213
07:54:58.609,357,,,,,,3090,,908,1159,360,13216,,,361,,360,92,212
07:54:58.625,355,,,,,,,,910,1154,358,13200,,,358,,358,90,213
07:54:58.656,356,,,,,,,,910,1158,359,,,,,,359,90,
07:54:58.672,356,,,,,,,,,,,,,,,,,,
07:54:58.687,,,,,,,,,908,1161,359,13200,,,358,,359,92,
07:54:58.703,357,,,,,,,,910,1163,361,13169,,,361,,361,90,
07:54:58.719,355,,,,,,3090,3402,908,1142,361,13137,,,361,,361,92,
07:54:58.750,355,,,,,,3091,3403,908,1146,360,13200,,,360,,360,92,
07:54:58.797,354,,,,,,3090,3402,911,1133,362,13231,359,,362,,362,89,
07:54:58.828,356,,,,,,3091,3403,909,1142,363,13169,360,,363,,363,91,
07:54:58.859,357,,,,,,3090,3403,911,1146,363,,,,363,,363,89,213
07:54:58.875,358,,,,,,,,,,,,,,,,,,
07:54:58.890,,,,,,,,3402,908,1151,364,13169,,,365,,364,92,212
07:54:58.906,358,,,,,,,,912,1150,364,13137,,,365,,364,88,
07:54:58.953,354,,,,,,,,912,1135,360,13216,,,361,,360,88,
07:54:58.969,356,,,,,,,3402,910,1147,362,13231,,,363,,362,90,
07:54:59.000,355,,,,,,,3403,910,1146,362,13216,,,362,,362,90,
07:54:59.015,358,,,,,,,3403,914,,,,,,,,,,
07:54:59.031,,,,,,,,,,1156,363,13231,,,363,,363,86,
07:54:59.078,356,,,,,,,3402,912,1150,362,13247,,,362,,362,88,
07:54:59.094,356,,,,,,,3402,,,,,,,,,,,
07:54:59.109,,,,,,,,,,1151,361,13200,,,361,,361,,
07:54:59.156,357,,,,,,3090,3403,912,1146,363,13153,,,363,,363,88,
07:54:59.172,355,,,,,,3091,,913,,,,,,,,,,
07:54:59.187,,,,,,,,,,1131,363,13137,,,362,,363,87,
07:54:59.203,355,,,,,,3090,,912,1127,366,13137,,,366,,366,88,
07:54:59.234,356,,,,,,3091,,911,1131,367,13200,,,365,,367,89,
07:54:59.265,356,,,,,,3090,,913,1133,367,13200,,,,,367,87,
07:54:59.281,355,,,,,,3091,,910,1129,365,13231,,,,,365,90,
07:54:59.312,356,,,,,,3090,,913,1133,367,13231,,,365,,367,87,
07:54:59.344,355,,,,,,,,915,1127,366,13216,,,366,,366,85,
07:54:59.359,355,,,,,,,,914,1127,367,13216,,,367,,367,86,
07:54:59.390,356,,,,,,,,916,1132,366,13231,,,366,,366,84,
07:54:59.453,356,,,,,,,,913,1130,,13184,,,367,,,87,
07:54:59.469,355,,,,,,3090,,914,,366,,,,366,,,,
07:54:59.484,,,,,,,,,,,,,,,,,366,86,
07:54:59.500,356,,,,,,3091,,911,1130,,,,,,,,,
07:54:59.515,,,,,,,,,,,367,13184,,,366,,367,89,
07:54:59.531,357,,,,,,3090,,912,1139,366,13247,,,367,,366,88,
07:54:59.578,357,,,,,,,,912,1142,365,13231,,,365,,365,88,
07:54:59.594,358,,,,,,3090,,910,1145,366,13200,,,366,,366,90,
07:54:59.625,358,,,,,,3091,,910,1148,367,13200,,,,,,,
07:54:59.640,,,,,,,,,,,,,,,366,,367,90,
07:54:59.656,357,,,,,,3090,,912,1147,365,13216,,,364,,365,88,
07:54:59.687,356,,,,,,,,,1136,366,,,,365,,366,,
07:54:59.703,,,,,,,3090,,,1135,,13216,,,365,,,,
07:54:59.719,356,,,,,,3091,,912,1132,366,13184,,0,367,,366,88,
07:54:59.750,355,,,,,,3090,,914,1125,365,13200,,-1,366,,365,86,
07:54:59.765,355,,,,,,,,910,1125,366,13200,,0,366,,366,90,
07:54:59.781,352,,,,,,,,915,1110,364,13184,,,,,,,
07:54:59.797,,,,,,,,,,,,,,,364,,364,85,
